artist_id,album_id,title,release_year,stock,price,photo
100,1000,The Dead of the World,2014,5,9.27,ascension-the-dead-of-the-world-Cover-Art.webp
101,1001,Alongside Death,2008,0,8.46,the-black-alongside-death-Cover-Art.webp
102,1002,Rising,2007,2,9.33,corpus-christii-rising-Cover-Art.webp
103,1003,Procella Vadens,2010,5,15.95,imperium-dekadenz-procella-vadens-Cover-Art.webp
104,1004,Hunger of Elements,2005,3,17.66,kataxu-hunger-of-elements-Cover-Art.webp
105,1005,The Haunting Presence,2007,3,12.69,krohm-the-haunting-presence-Cover-Art.webp
106,1006,Battlespells,2021,1,18.17,warmoon-lord-battlespells-Cover-Art.webp
107,1007,Blasphemers' Maledictions,2011,3,16.75,azarath-blasphemers-maledictions-Cover-Art.webp
108,1008,Defiance,2009,6,15.97,destroyer-666-defiance-Cover-Art.webp
109,1009,De mysteriis dom Sathanas,1994,6,19.25,mayhem-de-mysteriis-dom-sathanas-Cover-Art.webp
110,1010,Emanations of the Black Light,2013,6,19.76,deus-mortem-emanations-of-the-black-light-Cover-Art.webp
111,1011,Graveforests and Their Shadows,2007,0,17.38,walknut-graveforests-and-their-shadows-Cover-Art.webp
110,1012,Kosmocide,2019,0,14.98,deus-mortem-kosmocide-Cover-Art.webp
112,1013,Kuolonkylväjä,2019,8,15.88,sielunvihollinen-kuolonkylvaja-Cover-Art.webp
113,1014,Nachthymnen (From the Twilight Kingdom),1995,1,18.34,abigor-nachthymnen-from-the-twilight-kingdom-Cover-Art.webp
114,1015,Storm of the Light's Bane,1995,9,16.78,dissection-storm-of-the-lights-bane-Cover-Art.webp
110,1016,The Fiery Blood,2020,0,19.30,deus-mortem-the-fiery-blood-Cover-Art.webp
114,1017,The Somberlain,1993,8,12.82,dissection-the-somberlain-Cover-Art.webp
115,1018,Голос сталі,2009,3,8.19,nokturnal-mortum-голос-сталі-Cover-Art.webp
115,1019,До лунарної поезії (To Lunar Poetry),2022,0,18.58,nokturnal-mortum-до-лунарної-поезії-to-lunar-poetry-Cover-Art.webp
116,1020,Darkside,1997,3,8.39,necrophobic-darkside-Cover-Art.webp
115,1021,Goat Horns,1997,4,8.95,nokturnal-mortum-goat-horns-Cover-Art.webp
