1The Silence of Abel,The Dead of the World
2Death's Golden Temple,The Dead of the World
3Black Ember,The Dead of the World
4Unlocking Tiamat,The Dead of the World
5Deathless Light,The Dead of the World
6The Dark Tomb Shines,The Dead of the World
7Mortui Mundi,The Dead of the World
1On the Descent to Hell,Alongside Death
2Death's Crown,Alongside Death
3A Contract Written in Ashes,Alongside Death
4Dead Seed,Alongside Death
5Fleshless,Alongside Death
6Death Throes,Alongside Death
7The Wrath From Beneath,Alongside Death
8Alongside Death,Alongside Death
1Intro1:44,Rising
2Stabbed4:32,Rising
3Blank Code4:05,Rising
4Black Gleam Eye4:24,Rising
5The Wanderer6:10,Rising
6Torrents of Sorrow5:49,Rising
7Void Revelation5:05,Rising
8Evasive Contempt3:58,Rising
9Heavenless Bliss6:05,Rising
10Untouchable Euphoria3:21,Rising
11Bleak Existence4:19,Rising
12Revealed Wounds6:31,Rising
13Outro1:41,Rising
1Die Hoffnung stirbt...2:01,Procella Vadens
2Lacrimae Mundi5:01,Procella Vadens
3A Million Moons10:25,Procella Vadens
4Ego Universalis4:53,Procella Vadens
5À la nuit tombante5:18,Procella Vadens
6An Autumn Serenade9:18,Procella Vadens
"7Ocean, Mountain's Mirror7:06",Procella Vadens
8The Descent Into Hades4:31,Procella Vadens
9Procella Vadens6:45,Procella Vadens
10...wenn der Sturm beginnt1:58,Procella Vadens
1In My Dungeon!13:33,Hunger of Elements
2In the Arms of the Astral World3:54,Hunger of Elements
3Below the Tree of Life10:51,Hunger of Elements
4Nightsky6:23,Hunger of Elements
5The Manifesto of Unity11:28,Hunger of Elements
6The Breathe of Atlantis2:18,Hunger of Elements
1Bleak Shores7:23,The Haunting Presence
2Lifeless Serenade9:35,The Haunting Presence
3I respiri delle ombre7:13,The Haunting Presence
4Relic7:44,The Haunting Presence
5Memories of the Flesh8:15,The Haunting Presence
6Tra la carne e il nulla7:06,The Haunting Presence
7Syndrome9:07,The Haunting Presence
1Virtus tenebris2:31,Battlespells
2Purging Nefarious Vortex4:34,Battlespells
3Of a Moribund Vision5:10,Battlespells
4The Key of the Moonpiercer6:55,Battlespells
5Empowered With Battlespells6:38,Battlespells
6Oracles of War4:44,Battlespells
7In Perennial Twilight8:05,Battlespells
1Arising the Black Flame0:04,Blasphemers' Maledictions
2Supreme Reign of Tiamat3:58,Blasphemers' Maledictions
3Crushing Hammer of the Antichrist4:00,Blasphemers' Maledictions
4Firebreath of Blasphemy and Scorn4:15,Blasphemers' Maledictions
5Behold the Satan's Sword3:46,Blasphemers' Maledictions
6Under the Will of the Lord6:13,Blasphemers' Maledictions
7The Abjection4:24,Blasphemers' Maledictions
8Deathstorms Raid the Earth4:28,Blasphemers' Maledictions
9Lucifer's Rising3:38,Blasphemers' Maledictions
10Holy Possession4:16,Blasphemers' Maledictions
11Harvester of Flames6:07,Blasphemers' Maledictions
1Weapons of Conquest3:03,Defiance
2I Am Not Deceived4:37,Defiance
3Blood for Blood5:14,Defiance
4The Barricades Are Breaking3:38,Defiance
5Stand Defiant4:46,Defiance
6Path to Conflict4:37,Defiance
7A Thousand Plagues4:24,Defiance
8Human All Too Human6:04,Defiance
9Sermon to the Dead5:04,Defiance
1Funeral Fog5:47,De mysteriis dom Sathanas
2Freezing Moon6:23,De mysteriis dom Sathanas
3Cursed in Eternity5:10,De mysteriis dom Sathanas
4Pagan Fears6:21,De mysteriis dom Sathanas
5Life Eternal6:57,De mysteriis dom Sathanas
6From the Dark Past5:26,De mysteriis dom Sathanas
7Buried by Time and Dust3:34,De mysteriis dom Sathanas
8De mysteriis dom Sathanas6:22,De mysteriis dom Sathanas
1Into the Forms of Flesh (The Rebirth)6:28,Emanations of the Black Light
2It Starts to Breathe Inside6:46,Emanations of the Black Light
3Receiving the Impurity of Jeh4:26,Emanations of the Black Light
4The Shining6:26,Emanations of the Black Light
5The Harvest5:25,Emanations of the Black Light
6Ceremony of Reversion P.18:22,Emanations of the Black Light
7Emanation5:54,Emanations of the Black Light
1Hrimfaxi1:10,Graveforests and Their Shadows
2Motherland Ostenvegr10:31,Graveforests and Their Shadows
"3Come, Dreadful Ygg10:55",Graveforests and Their Shadows
4The Midnightforest of the Runes4:30,Graveforests and Their Shadows
5Grim Woods11:43,Graveforests and Their Shadows
6Skinfaxi4:01,Graveforests and Their Shadows
1Remorseless Beast5:24,Kosmocide
2The Soul of the Worlds5:45,Kosmocide
3Sinister Lava5:31,Kosmocide
4Through the Crown It Departs4:17,Kosmocide
5The Seeker6:34,Kosmocide
6Ceremony of Reversion p.28:39,Kosmocide
7The Destroyer6:37,Kosmocide
1Loputon viha3:42,Kuolonkylväjä
2Tuhkanharmaa3:55,Kuolonkylväjä
3Uusi kurja maailma4:59,Kuolonkylväjä
4Rapistuneen linnan varjot4:29,Kuolonkylväjä
5Auringon hylkäämä maa4:49,Kuolonkylväjä
6Voittomme3:50,Kuolonkylväjä
7Kirous viimeinen4:11,Kuolonkylväjä
8Kuolonkylväjä4:41,Kuolonkylväjä
1Unleashed Axe-Age6:24,Nachthymnen (From the Twilight Kingdom)
2Scars in the Landscape of God6:14,Nachthymnen (From the Twilight Kingdom)
3Reborn Through the Gates of Three Moons6:04,Nachthymnen (From the Twilight Kingdom)
4Dornen4:37,Nachthymnen (From the Twilight Kingdom)
5As Astral Images Darken Reality3:56,Nachthymnen (From the Twilight Kingdom)
6The Dark Kiss5:46,Nachthymnen (From the Twilight Kingdom)
7I Face the Eternal Winter4:35,Nachthymnen (From the Twilight Kingdom)
8Revealed Secrets of the Whispering Moon5:22,Nachthymnen (From the Twilight Kingdom)
9A Frozen Soul in a Wintershadow6:03,Nachthymnen (From the Twilight Kingdom)
1At the Fathomless Depths1:56,Storm of the Light's Bane
2Night's Blood6:40,Storm of the Light's Bane
3Unhallowed7:28,Storm of the Light's Bane
4Where Dead Angels Lie5:51,Storm of the Light's Bane
5Retribution - Storm of the Light's Bane4:50,Storm of the Light's Bane
6Thorns of Crimson Death8:06,Storm of the Light's Bane
7Soulreaper6:56,Storm of the Light's Bane
8No Dreams Breed in Breathless Sleep1:26,Storm of the Light's Bane
1Down the Scorched Paradise4:09,The Fiery Blood
2Lord of All Graves5:32,The Fiery Blood
"3Breaking the Sceptres, Crushing the Wands4:40",The Fiery Blood
4Nod5:29,The Fiery Blood
1Black Horizons8:10,The Somberlain
2The Somberlain7:04,The Somberlain
3Crimson Towers0:47,The Somberlain
4A Land Forlorn6:38,The Somberlain
5Heaven's Damnation4:43,The Somberlain
6Frozen3:45,The Somberlain
7Into Infinite Obscurity1:04,The Somberlain
8In the Cold Winds of Nowhere4:19,The Somberlain
9The Grief Prophecy / Shadows Over a Lost Kingdom3:10,The Somberlain
10Mistress of the Bleeding Sorrow4:33,The Somberlain
11Feathers Fell0:43,The Somberlain
1Інтро3:06,Голос сталі
2Голос сталі9:55,Голос сталі
3Валькирия10:48,Голос сталі
4Україна8:24,Голос сталі
5Моєї мрії острови11:48,Голос сталі
6Шляхом сонця9:07,Голос сталі
7Небо сумних ночей4:51,Голос сталі
8Біла вежа11:48,Голос сталі
1Зимні сни / Freezing Dreams2:33,До лунарної поезії (To Lunar Poetry)
2Лунарна поезія / Lunar Poetry4:40,До лунарної поезії (To Lunar Poetry)
3Перунове срібло небес / Perun's Celestial Silver7:21,До лунарної поезії (To Lunar Poetry)
4Карпатські таємниці / Carpathian Mysteries4:39,До лунарної поезії (To Lunar Poetry)
5…І зима постає / …And Winter Becomes4:49,До лунарної поезії (To Lunar Poetry)
6Вампірів князь прийшов / Return of the Vampire Lord10:44,До лунарної поезії (To Lunar Poetry)
7Прадавній рід / Ancient Nation5:11,До лунарної поезії (To Lunar Poetry)
8Акт віри (Ода інакомисленню) / Autodafe (Ode to Nonconformity)4:28,До лунарної поезії (To Lunar Poetry)
9Пращурів сни / Barbarian Dreams3:52,До лунарної поезії (To Lunar Poetry)
1Black Moon Rising2:53,Darkside
2Spawned by Evil3:23,Darkside
3Bloodthirst3:40,Darkside
4Venaesectio1:24,Darkside
5Darkside3:57,Darkside
6The Call3:27,Darkside
7Descension1:22,Darkside
8Nailing the Holy One2:43,Darkside
9Nifelhel4:14,Darkside
10Christian Slaughter6:15,Darkside
1Black Moon Overture4:48,Goat Horns
2Kuyaviya7:04,Goat Horns
3Goat Horns9:07,Goat Horns
4Unholy Orathania8:09,Goat Horns
5Veles Scrolls11:48,Goat Horns
6Kolyada7:10,Goat Horns
7Eternal Circle3:52,Goat Horns
